Mes;Día;Hora;coeficientes
2;6;2;0,000094051393
2;6;3;0,000083623931
2;6;4;0,000078529339
2;6;5;0,000076963518
2;6;6;0,000080027081
2;6;7;0,000093313869
2;6;8;0,000119910137
2;6;9;0,000128113678
2;6;10;0,000131041083
2;6;11;0,000134252151
2;6;12;0,000133060766
2;6;13;0,000134501775
2;6;14;0,000142081258
2;6;15;0,000145326365
2;6;16;0,000137644764
2;6;17;0,000130519143
2;6;18;0,000130746073
2;6;19;0,000142625891
2;6;20;0,000170890099
2;6;21;0,000189929578
2;6;22;0,000191018845
2;6;23;0,000168575407
2;6;24;0,000137372447
2;7;1;0,000112977406
2;7;2;0,000094459868
2;7;3;0,000084111832
2;7;4;0,000078903775
2;7;5;0,000077303914
2;7;6;0,000080231319
2;7;7;0,000093200403
2;7;8;0,000119410889
2;7;9;0,000128431381
2;7;10;0,000132550172
2;7;11;0,000136226448
2;7;12;0,000135035062
2;7;13;0,000136226448
2;7;14;0,000143408802
2;7;15;0,000147493553
2;7;16;0,000140685634
2;7;17;0,000133877716
2;7;18;0,000133265003
2;7;19;0,000142523772
2;7;20;0,000164104874
2;7;21;0,000176495285
2;7;22;0,000180035403
2;7;23;0,000164649507
2;7;24;0,000141332387
2;8;1;0,000121180948
2;8;2;0,000102220895
2;8;3;0,000089490088
2;8;4;0,000082443892
2;8;5;0,000079448408
2;8;6;0,000079686685
2;8;7;0,000083601238
2;8;8;0,000092417493
2;8;9;0,000107565111
2;8;10;0,000133877716
2;8;11;0,000148991295
2;8;12;0,000151033670
2;8;13;0,000150523076
2;8;14;0,000157875628
2;8;15;0,000158318143
2;8;16;0,000144021514
2;8;17;0,000133299043
2;8;18;0,000129452569
2;8;19;0,000136737042
2;8;20;0,000155935372
2;8;21;0,000168223664
2;8;22;0,000173057286
2;8;23;0,000159645687
2;8;24;0,000139664447
2;9;1;0,000121487304
2;9;2;0,000103208043
2;9;3;0,000090204919
2;9;4;0,000082852367
2;9;5;0,000079380329
2;9;6;0,000079039933
2;9;7;0,000081422704
2;9;8;0,000086766920
2;9;9;0,000097012838
2;9;10;0,000123461601
2;9;11;0,000144089593
2;9;12;0,000150420958
2;9;13;0,000150727314
2;9;14;0,000157092718
2;9;15;0,000156514045
2;9;16;0,000140277159
2;9;17;0,000130065282
2;9;18;0,000127954827
2;9;19;0,000139868684
2;9;20;0,000166930160
2;9;21;0,000184698827
2;9;22;0,000185345579
2;9;23;0,000162505013
2;9;24;0,000133571360
2;10;1;0,000110186160
2;10;2;0,000092281334
2;10;3;0,000082307734
2;10;4;0,000077474112
2;10;5;0,000075908290
2;10;6;0,000078869735
2;10;7;0,000091396305
2;10;8;0,000116143088
2;10;9;0,000125129541
2;10;10;0,000130643955
2;10;11;0,000135069102
2;10;12;0,000134422349
2;10;13;0,000135852012
2;10;14;0,000143885356
2;10;15;0,000146744682
2;10;16;0,000138268823
2;10;17;0,000130609915
2;10;18;0,000130575875
2;10;19;0,000141502584
2;10;20;0,000170504317
2;10;21;0,000190281320
2;10;22;0,000191745022
2;10;23;0,000168223664
2;10;24;0,000136566844
2;11;1;0,000112909327
2;11;2;0,000094051393
2;11;3;0,000083623931
2;11;4;0,000078529339
2;11;5;0,000076963518
2;11;6;0,000080027081
2;11;7;0,000093313869
2;11;8;0,000119910137
2;11;9;0,000128113678
2;11;10;0,000131041083
2;11;11;0,000134252151
2;11;12;0,000133060766
2;11;13;0,000134501775
2;11;14;0,000142081258
2;11;15;0,000145326365
2;11;16;0,000137644764
2;11;17;0,000130519143
2;11;18;0,000130746073
2;11;19;0,000142625891
2;11;20;0,000170890099
2;11;21;0,000189929578
2;11;22;0,000191018845
2;11;23;0,000168575407
2;11;24;0,000137372447
2;12;1;0,000112909327
2;12;2;0,000094051393
2;12;3;0,000083623931
2;12;4;0,000078529339
2;12;5;0,000076963518
2;12;6;0,000080027081
2;12;7;0,000093313869
2;12;8;0,000119910137
2;12;9;0,000128113678
2;12;10;0,000131041083
2;12;11;0,000134252151
2;12;12;0,000133060766
2;12;13;0,000134501775
2;12;14;0,000142081258
2;12;15;0,000145326365
2;12;16;0,000137644764
2;12;17;0,000130519143
2;12;18;0,000130746073
2;12;19;0,000142625891
2;12;20;0,000170890099
2;12;21;0,000189929578
2;12;22;0,000191018845
2;12;23;0,000168575407
2;12;24;0,000137372447
2;13;1;0,000112909327
2;13;2;0,000094051393
2;13;3;0,000083623931
2;13;4;0,000078529339
2;13;5;0,000076963518
2;13;6;0,000080027081
2;13;7;0,000093313869
2;13;8;0,000119910137
2;13;9;0,000128113678
2;13;10;0,000131041083
2;13;11;0,000134252151
2;13;12;0,000133060766
2;13;13;0,000134501775
2;13;14;0,000142081258
2;13;15;0,000145326365
2;13;16;0,000137644764
2;13;17;0,000130519143
2;13;18;0,000130746073
2;13;19;0,000142625891
2;13;20;0,000170890099
2;13;21;0,000189929578
2;13;22;0,000191018845
2;13;23;0,000168575407
2;13;24;0,000137372447
2;14;1;0,000112977406
2;14;2;0,000094459868
2;14;3;0,000084111832
2;14;4;0,000078903775
2;14;5;0,000077303914
2;14;6;0,000080231319
2;14;7;0,000093200403
2;14;8;0,000119410889
2;14;9;0,000128431381
2;14;10;0,000132550172
2;14;11;0,000136226448
2;14;12;0,000135035062
2;14;13;0,000136226448
2;14;14;0,000143408802
